system:index,NDVI,aspect,elevation,slope,soilgrid_clay5,soilgrid_clay60,soilgrid_soc5,twi,.geo
0_0,0.28031525015830994,297.6415302158962,2636.0,3.991866111755371,27.0,36.0,55.0,11.366818360978973,"{""type"":""Point"",""coordinates"":[-108.0613042866119,38.22697295935758]}"
0_1,0.2574138045310974,225.52419642636315,2460.0,6.589972496032715,28.0,35.0,40.0,8.297775230908274,"{""type"":""Point"",""coordinates"":[-108.12134696218297,38.23353774946596]}"
0_2,0.3592129051685333,236.38702375297567,2414.0,17.83098793029785,19.0,27.0,76.0,13.819125683215404,"{""type"":""Point"",""coordinates"":[-108.10981890157815,38.22522074136583]}"
0_3,0.36370959877967834,192.66180467535608,2500.0,15.751176834106445,16.0,24.0,51.0,10.295558637446161,"{""type"":""Point"",""coordinates"":[-108.10726424596392,38.2326958205145]}"
0_4,0.27538007497787476,190.30983304466585,2948.0,6.570033073425293,18.0,21.0,53.0,8.99397952896481,"{""type"":""Point"",""coordinates"":[-108.06168088146903,38.24920794493729]}"
0_5,0.2941604554653168,260.09879830119263,2861.0,20.634857177734375,18.0,23.0,53.0,7.1161726481544765,"{""type"":""Point"",""coordinates"":[-108.04913552007778,38.23555948029099]}"
0_6,0.2670195400714874,194.2866644434675,2736.0,4.774372100830078,20.0,31.0,55.0,10.008461271763405,"{""type"":""Point"",""coordinates"":[-108.07958228730541,38.24277757167885]}"
0_7,0.2773514986038208,214.1816545983099,2895.0,16.35795783996582,22.0,25.0,53.0,8.463946449801929,"{""type"":""Point"",""coordinates"":[-108.07319785021726,38.249863960079516]}"
0_8,0.2749849557876587,147.52955638763248,2530.0,15.036015510559082,24.0,33.0,52.0,13.728729012103509,"{""type"":""Point"",""coordinates"":[-108.08998034720426,38.21103113427663]}"
0_9,0.3167509138584137,239.4947799867794,2843.0,16.013885498046875,19.0,23.0,54.0,8.486379317028774,"{""type"":""Point"",""coordinates"":[-108.046591301906,38.227684256874156]}"
0_10,0.29933109879493713,303.95293395870567,2636.0,9.865224838256836,21.0,32.0,65.0,7.888780759399085,"{""type"":""Point"",""coordinates"":[-108.06063597886984,38.22986269111517]}"
0_11,0.2627066969871521,199.14839897900038,2659.0,10.674689292907715,28.0,36.0,56.0,9.599966782582554,"{""type"":""Point"",""coordinates"":[-108.07247741881997,38.23835497922013]}"
0_12,0.25816595554351807,236.04767432652017,2561.0,9.865377426147461,24.0,34.0,53.0,10.453714339749254,"{""type"":""Point"",""coordinates"":[-108.07842155314785,38.231770217571146]}"
0_13,0.313609778881073,249.4095343312534,2917.0,26.85399055480957,16.0,18.0,54.0,7.918720061343744,"{""type"":""Point"",""coordinates"":[-108.04606684890307,38.23097049719211]}"
