latitude,longitude,HubName,HubDist
38.2269729593576,-108.061304286612,ATV/4-Wheeler Road,0.0238970605377863
38.233537749466,-108.121346962183,Miguel Road,0.214302479693339
38.2252207413658,-108.109818901578,,0.595427961838173
38.2326958205145,-108.107264245964,,0.0627405453491994
38.2492079449373,-108.061680881469,Divide Road,0.530184407162072
38.235559480291,-108.049135520078,Rim Road,0.516585393775187
38.2427775716789,-108.079582287305,ATV/4-Wheeler Road,0.196419307313674
38.2498639600795,-108.073197850217,ATV/4-Wheeler Road,0.293212734183106
38.2110311342766,-108.089980347204,Miguel Road,0.863915667125145
38.2276842568742,-108.046591301906,Rim Road,0.23691212474687
38.2298626911152,-108.06063597887,ATV/4-Wheeler Road,0.100341868926652
38.2383549792201,-108.07247741882,ATV/4-Wheeler Road,0.0709825008390337
38.2317702175711,-108.078421553148,ATV/4-Wheeler Road,0.475904652668332
38.2309704971921,-108.046066848903,Rim Road,0.183072619354416
38.2564672203836,-108.118981546828,ATV/4-Wheeler Road,0.153275088917343
38.2261422135574,-108.056575756792,Upper Bench Road,0.168747263510578
38.2584319588584,-108.086945850165,Divide Road,0.278290368663695
38.250341187264,-108.066377117484,Divide Road,0.456297917825825
38.2343559798946,-108.11840678142,Miguel Road,0.138972330399741
38.2055570705284,-108.025945203018,,0.316623367828548
38.2302929287204,-108.083640357951,Miguel Road,0.330463692995817
38.219870624043,-108.028659711229,Rim Road,0.088754739451274
38.2206724249464,-108.0626050645,Upper Bench Road,0.286115628167051
38.2175120573892,-108.068543881625,,0.254235262579766
38.2544798686305,-108.075729584543,,0.332352875264823
38.2408085486915,-108.097597553842,ATV/4-Wheeler Road,0.498686089321572
38.2527855085743,-108.099577822176,ATV/4-Wheeler Road,0.281960395358403
38.2040050869364,-108.049298989912,Harts Basin to Hanks Valley,0.0254500507973547
38.2389596387763,-108.065969479586,ATV/4-Wheeler Road,0.141014022451756
38.2486347396044,-108.082800561142,ATV/4-Wheeler Road,0.190655394535993
38.2153833910784,-108.08616293438,Miguel Road,0.517011995921428
38.2517476906402,-108.090001475518,ATV/4-Wheeler Road,0.303343934043087
38.2132218333812,-108.091206760306,Miguel Road,0.755318994479015
38.2120554778391,-108.018709592115,Rim Road,0.549816046050725
38.2357514749882,-108.089236436694,Miguel Road,0.521756145918753
38.2140546571451,-108.024808872925,Rim Road,0.428253818131719
38.2582774308383,-108.106929780424,ATV/4-Wheeler Road,0.408754421171346
38.2574944379772,-108.092926606108,Divide Road,0.388465314063959
38.2485138622833,-108.112804495893,ATV/4-Wheeler Road,0.260406475262763
38.2208948817725,-108.044503597205,Upper Bench Road,0.223481090667568
38.2648887923257,-108.08777752448,Divide Road,0.123721529472001
38.2419439486206,-108.05932970364,ATV/4-Wheeler Road,0.637612293477904
38.2068537694118,-108.044972795034,,0.239427049041857
38.2621614745707,-108.11296637197,ATV/4-Wheeler Road,0.208570873194
38.2475486481892,-108.054496471845,,0.745489212260724
38.2588228289071,-108.11528129812,ATV/4-Wheeler Road,0.0266566136345124
38.2553643791855,-108.091015917118,Divide Road,0.529084117585398
38.2203991619688,-108.031917816867,Rim Road,0.0820833589774623
38.2257304725324,-108.069231464121,Upper Bench Road,0.127299870307243
38.2208651177017,-108.093015502416,Miguel Road,0.400449786308601
38.2118102215168,-108.092902368767,Miguel Road,0.886149866368124
38.254152026873,-108.110789255041,ATV/4-Wheeler Road,0.0563360315608767
38.261256740936,-108.089402405674,Divide Road,0.128464751575754
38.2140990077143,-108.067117342239,,0.196678306808846
38.2155902536282,-108.032398308149,Upper Bench Road,0.104599571163558
38.2137081214217,-108.088079039736,Miguel Road,0.655313757100585
38.2168063326277,-108.007381844493,,0.412541946575561
38.2564598571837,-108.105216383305,ATV/4-Wheeler Road,0.414796205448988
38.2297637258037,-108.080323528394,,0.411674792080838
38.2446936022712,-108.100753794408,ATV/4-Wheeler Road,0.242923194492303
38.2504032557786,-108.120374182874,ATV/4-Wheeler Road,0.393702726345624
38.2483344538827,-108.087226329146,ATV/4-Wheeler Road,0.0992510320619816
38.2365338387785,-108.07804467092,ATV/4-Wheeler Road,0.325907503271716
38.2237867352395,-108.036164708192,Rim Road,0.0588028425171002
38.2507412886885,-108.08203642054,ATV/4-Wheeler Road,0.332443071207183
38.2430590500716,-108.103199677731,ATV/4-Wheeler Road,0.369515041160348
38.2298306634769,-108.087682596132,Miguel Road,0.259842472193453
38.2480080630354,-108.101722913672,ATV/4-Wheeler Road,0.0182729190065195
38.2516891875768,-108.074859867172,ATV/4-Wheeler Road,0.412968975327758
38.2403428963931,-108.06100663695,ATV/4-Wheeler Road,0.500313788824974
38.2537589577367,-108.072685105736,,0.304190560504179
38.2097144834297,-108.054718707313,,0.422295410148789
38.2571277549473,-108.093449084529,Divide Road,0.419348399666571
38.2169791573916,-108.017741988979,Rim Road,0.206824717833689
38.2408032096115,-108.110299698077,Miguel Road,0.403205679701444
38.2139777678658,-108.091120200924,Miguel Road,0.708001661176588
38.2391711748918,-108.089574640663,ATV/4-Wheeler Road,0.537327094496468
38.2481716358031,-108.049365296044,Divide Road,0.697248188874964
38.2210455191084,-108.002990826945,Harts Basin to Hanks Valley,0.300588773556678
38.2300315611725,-108.092550980147,Miguel Road,0.0885811104558559
38.2619213185586,-108.096071508012,Divide Road,0.256652316419481
38.2561986983425,-108.091074017367,Divide Road,0.471451982447606
38.2499303754109,-108.105637289407,ATV/4-Wheeler Road,0.0700412014149647
38.2176233312856,-108.026193918288,Rim Road,0.18030947565092
