system:index,NDVI,aspect,clay_0_15,clay_30_60,elevation,om_0_15,slope,twi,.geo
0_94,0.2989811897277832,308.13899810724206,28.0,32.5,3035.0,-9.930000305175781,4.496255874633789,8.68244695829036,"{""type"":""Point"",""coordinates"":[-108.09141685698616,38.26077230583834]}"
0_95,0.3145596981048584,147.5292592429212,42.0,36.5,2805.0,0.8500000238418579,6.5672383308410645,9.687555928303452,"{""type"":""Point"",""coordinates"":[-108.02987481915487,38.212064379405305]}"
0_96,0.3214944303035736,216.04355752710748,28.0,32.5,3033.0,-9.930000305175781,7.977575302124023,8.104621648733042,"{""type"":""Point"",""coordinates"":[-108.0851312728464,38.256437082580256]}"
0_97,0.2976384460926056,186.60350210447638,46.0,35.5,2817.0,1.199999988079071,10.162606239318848,7.858468268516188,"{""type"":""Point"",""coordinates"":[-108.09912108188539,38.253192765007185]}"
0_98,0.2907884120941162,199.98974387477315,39.0,35.5,2575.0,0.7800000011920929,6.875463485717773,8.254972474339956,"{""type"":""Point"",""coordinates"":[-108.10558550872001,38.239544896741656]}"
0_99,0.30114585161209106,180.0,45.0,34.5,2834.0,0.9200000166893005,8.28909969329834,8.758942557940152,"{""type"":""Point"",""coordinates"":[-108.093647282351,38.25187107081174]}"
0_100,0.2398221641778946,291.44584259105244,40.0,36.5,2514.0,0.9900000095367432,2.53509521484375,15.555812872861459,"{""type"":""Point"",""coordinates"":[-108.09227967644554,38.220179768684126]}"
0_101,0.2508772909641266,197.65419781266476,56.0,38.5,2587.0,1.0600000023841858,7.739231586456299,8.13533749517582,"{""type"":""Point"",""coordinates"":[-108.07257752007739,38.231043226214105]}"
0_102,0.34208938479423523,281.10652518715386,56.0,40.5,2657.0,0.9200000166893005,9.54041862487793,8.616055186492593,"{""type"":""Point"",""coordinates"":[-108.11756470714143,38.2569738645561]}"
0_103,0.28437790274620056,291.443013416237,40.0,36.5,2603.0,0.9200000166893005,10.044109344482422,12.11893881532494,"{""type"":""Point"",""coordinates"":[-108.06321098635897,38.23080755217714]}"
0_104,0.2663588225841522,32.487595849823435,31.0,15.5,3025.0,0.9200000166893005,4.389647960662842,8.706539407649606,"{""type"":""Point"",""coordinates"":[-108.08337154833129,38.259145586530494]}"
0_105,0.3088492453098297,252.55834556880734,53.0,43.5,2768.0,0.8500000238418579,23.367063522338867,10.274556926896382,"{""type"":""Point"",""coordinates"":[-108.05264567025313,38.237748989523084]}"
0_106,0.29695412516593933,272.6452075161857,38.0,24.5,2822.0,0.7800000011920929,19.328588485717773,10.406063072797378,"{""type"":""Point"",""coordinates"":[-108.04579330523092,38.24178836577039]}"
0_107,0.2546946406364441,180.0,45.0,28.5,2796.0,1.0600000023841858,7.3788604736328125,8.183578407329561,"{""type"":""Point"",""coordinates"":[-108.09974806026948,38.25218408013437]}"
0_108,0.27903565764427185,117.64377811186401,28.0,32.5,2935.0,-9.930000305175781,3.991568088531494,8.801943906059819,"{""type"":""Point"",""coordinates"":[-108.01816474173107,38.21991811396596]}"
0_109,0.31978851556777954,228.31987263743056,38.0,24.5,3000.0,0.9200000166893005,22.481754302978516,7.714942478127225,"{""type"":""Point"",""coordinates"":[-108.03781991000719,38.22391264421334]}"
0_110,0.2830869257450104,242.36548603855488,45.0,30.5,2746.0,0.9200000166893005,3.9927968978881836,8.801635103664616,"{""type"":""Point"",""coordinates"":[-108.09723448005718,38.24857785046431]}"
0_111,0.2441018670797348,223.6711057336048,41.0,28.5,2814.0,0.8500000238418579,10.15066909790039,9.245962921581121,"{""type"":""Point"",""coordinates"":[-108.04455267928017,38.22175040615331]}"
0_112,0.3540761470794678,199.9854558656038,33.0,27.5,2468.0,0.7800000011920929,19.886404037475586,13.67110006506226,"{""type"":""Point"",""coordinates"":[-108.09836383439303,38.2226370783555]}"
0_113,0.29149195551872253,199.98953290973708,42.0,30.5,2574.0,0.8500000238418579,6.875454425811768,8.948120985351922,"{""type"":""Point"",""coordinates"":[-108.10364244460773,38.23868577060543]}"
0_114,0.2446240782737732,231.84717707246662,44.0,39.5,2617.0,0.8500000238418579,4.494880199432373,8.68275422481678,"{""type"":""Point"",""coordinates"":[-108.06432056505419,38.224821190494765]}"
0_115,0.28089556097984314,308.1370826160633,46.0,31.5,2815.0,0.9900000095367432,8.938179969787598,11.124751462139638,"{""type"":""Point"",""coordinates"":[-108.09860918651015,38.26585332725447]}"
0_116,0.24893935024738312,218.50368447425578,59.0,39.5,2559.0,0.8500000238418579,9.396354675292969,7.93840413906343,"{""type"":""Point"",""coordinates"":[-108.0719641210457,38.221244799271176]}"
0_118,0.3060893416404724,287.4453465726227,46.0,37.5,2618.0,0.9200000166893005,6.163595676422119,8.365219449127315,"{""type"":""Point"",""coordinates"":[-108.06543135287588,38.22141953564687]}"
0_119,0.29368436336517334,210.72239531848572,46.0,26.5,2768.0,1.1299999952316284,15.772806167602539,8.096890054262841,"{""type"":""Point"",""coordinates"":[-108.11039461114073,38.25551638972005]}"
0_120,0.2505722641944885,51.84303280331104,39.0,31.5,2532.0,0.7800000011920929,2.9997291564941406,9.088311407556066,"{""type"":""Point"",""coordinates"":[-108.08837275798804,38.21376793469965]}"
0_121,0.31529510021209717,186.603352001566,46.0,35.5,2895.0,1.1299999952316284,19.723228454589844,7.858468600883649,"{""type"":""Point"",""coordinates"":[-108.08496588698814,38.25143637145027]}"
0_122,0.3128126263618469,180.0,28.0,32.5,2933.0,-9.930000305175781,22.03289794921875,7.044144065450565,"{""type"":""Point"",""coordinates"":[-108.09400745414025,38.25716355498324]}"
0_123,0.2888624668121338,171.9483158481349,61.0,40.5,2626.0,1.0600000023841858,8.370462417602539,10.54079525611871,"{""type"":""Point"",""coordinates"":[-108.07785770492352,38.23734797494291]}"
0_124,0.33268681168556213,230.14817638548553,39.0,25.5,2930.0,0.8500000238418579,23.241004943847656,7.677922639067402,"{""type"":""Point"",""coordinates"":[-108.04013245454104,38.223528547653025]}"
0_125,0.3240315318107605,346.96256060957086,42.0,28.5,2873.0,0.9200000166893005,10.358012199401855,7.839009517505635,"{""type"":""Point"",""coordinates"":[-108.10450801998742,38.2608289381397]}"
0_126,0.2724723219871521,235.50561969256592,44.0,27.5,2803.0,0.9900000095367432,11.314729690551758,7.748523336361339,"{""type"":""Point"",""coordinates"":[-108.09790589049409,38.25174545465241]}"
0_127,0.31573939323425293,264.39207544865843,40.0,36.5,2686.0,0.8500000238418579,9.405842781066895,7.937376539492346,"{""type"":""Point"",""coordinates"":[-108.05774574776204,38.23086375256655]}"
0_128,0.2945079505443573,237.84676306135026,43.0,36.5,2671.0,1.1299999952316284,6.937088489532471,8.245962351618727,"{""type"":""Point"",""coordinates"":[-108.05377023327458,38.210453638127845]}"
0_129,0.275907039642334,144.72487308339998,37.0,36.5,2777.0,0.9900000095367432,10.118298530578613,8.961542560448434,"{""type"":""Point"",""coordinates"":[-108.07566238797266,38.245718052780006]}"
0_130,0.23682619631290436,180.0,54.0,37.5,2584.0,0.9900000095367432,6.464860916137695,10.882059119741532,"{""type"":""Point"",""coordinates"":[-108.07512681885984,38.232014980004394]}"
0_131,0.24026279151439667,209.509818762387,33.0,20.5,2959.0,0.9200000166893005,26.666831970214844,7.521379951266661,"{""type"":""Point"",""coordinates"":[-108.09064774145925,38.25733304909976]}"
0_132,0.32069122791290283,274.98781903752104,31.0,22.5,2953.0,0.7800000011920929,20.4239501953125,7.127381128179423,"{""type"":""Point"",""coordinates"":[-108.04750632815511,38.23592647674167]}"
0_133,0.33684679865837097,206.33521106558257,45.0,35.5,2919.0,0.9900000095367432,18.010541915893555,7.9562192239046405,"{""type"":""Point"",""coordinates"":[-108.03681940645303,38.22007931316309]}"
0_134,0.2587980031967163,270.0,38.0,35.5,2469.0,0.8500000238418579,1.180480718612671,10.021684426560627,"{""type"":""Point"",""coordinates"":[-108.10715564002145,38.22589629848285]}"
0_135,0.22873538732528687,111.44837330333971,45.0,27.5,2782.0,1.0600000023841858,2.5348105430603027,9.256976071335849,"{""type"":""Point"",""coordinates"":[-108.02543516344807,38.21073021534978]}"
0_136,0.302646279335022,284.66837907224726,39.0,25.5,2637.0,0.9200000166893005,20.98481559753418,7.790927122214233,"{""type"":""Point"",""coordinates"":[-108.1200125772329,38.25464833752296]}"
0_137,0.31898775696754456,265.508399658351,40.0,28.5,2433.0,0.9900000095367432,22.46080780029297,13.613131415761645,"{""type"":""Point"",""coordinates"":[-108.11111272319665,38.229295611288286]}"
0_138,0.2742854356765747,199.15097704425378,44.0,27.5,2931.0,1.0600000023841858,10.67485237121582,8.906803965703046,"{""type"":""Point"",""coordinates"":[-108.06394305917574,38.24887596463882]}"
0_139,0.3374548852443695,217.36861496145656,41.0,30.5,2845.0,0.9200000166893005,11.512776374816895,7.730703621915919,"{""type"":""Point"",""coordinates"":[-108.04033288336313,38.218265705963944]}"
0_140,0.280233234167099,242.3693557977457,40.0,25.5,2932.0,0.9200000166893005,7.948197364807129,8.108358949257767,"{""type"":""Point"",""coordinates"":[-108.10018420879626,38.26047518483835]}"
0_141,0.2459932416677475,257.35115747432656,42.0,37.5,2663.0,0.9900000095367432,8.410271644592285,9.996985595727134,"{""type"":""Point"",""coordinates"":[-108.05750718994508,38.23538551211858]}"
